annee,part_ve,Intensité_carbone
2010,5.422690023066206e-06,78.561775
2011,0.00020870412343857464,74.62344
2012,0.0021887594984306273,77.59258
2013,0.004325403489324566,76.27222
2014,0.00471677942678108,52.19756
2015,0.01302782240041577,59.149334
2016,0.015625483088179612,68.6064
2017,0.01646176612356432,78.26258
2018,0.016989264438198134,59.92359
2019,0.023491987970670168,59.78751
2020,0.08506343102673798,59.08005
2021,0.13706555132727596,59.787445
2022,0.2059067008945613,78.55024
2023,0.23751869583068883,55.27541
